SEASON,PLAYER ID,PLAYER NAME,REBOUND TYPE,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:2),MIL @ HOU,MIL,HOU,"Thursday, October 24",2,https://videos.nba.com/nba/pbp/media/2019/10/24/0021900015/360/d73b8623-9976-159d-6496-f18311291b7f_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:2 Def:3),MIL @ HOU,MIL,HOU,"Thursday, October 24",3,https://videos.nba.com/nba/static/missing.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:1),HOU @ WAS,HOU,WAS,"Wednesday, October 30",2,https://videos.nba.com/nba/pbp/media/2019/10/30/0021900061/354/f706c5b8-f936-3fd7-a571-156cf1ba25c1_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:1),HOU @ BKN,HOU,BKN,"Friday, November 1",1,https://videos.nba.com/nba/pbp/media/2019/11/01/0021900069/114/cdb32e52-2e98-b8c9-702b-c16ccfeeac3f_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:2 Def:2),HOU @ BKN,HOU,BKN,"Friday, November 1",2,https://videos.nba.com/nba/pbp/media/2019/11/01/0021900069/258/814d5e68-9798-03e6-4b65-c814a607f111_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:2),HOU @ MIA,HOU,MIA,"Sunday, November 3",2,https://videos.nba.com/nba/pbp/media/2019/11/03/0021900086/321/ab832db3-baca-f4ca-d5c2-a3c1bceba211_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:1),HOU @ MEM,HOU,MEM,"Monday, November 4",1,https://videos.nba.com/nba/pbp/media/2019/11/04/0021900093/40/0782a8a6-872f-984a-810d-1e009f26dd98_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:2 Def:1),HOU @ MEM,HOU,MEM,"Monday, November 4",1,https://videos.nba.com/nba/pbp/media/2019/11/04/0021900093/77/ac60bcbc-73fb-a427-4f7a-260841571d69_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:3 Def:4),HOU @ MEM,HOU,MEM,"Monday, November 4",2,https://videos.nba.com/nba/pbp/media/2019/11/04/0021900093/265/b8c7cb98-37e1-7d9f-ed31-51b841404e51_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:4 Def:6),HOU @ MEM,HOU,MEM,"Monday, November 4",4,https://videos.nba.com/nba/pbp/media/2019/11/04/0021900093/638/8ea4f24a-a95d-694e-6e1d-d44d08a8d4a4_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:2),HOU @ CHI,HOU,CHI,"Saturday, November 9",1,https://videos.nba.com/nba/pbp/media/2019/11/09/0021900129/93/b184c2f5-e18f-94e3-d06f-a6210e1fdcaa_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:1),HOU @ MIN,HOU,MIN,"Saturday, November 16",1,https://videos.nba.com/nba/pbp/media/2019/11/16/0021900179/132/0b9623cc-ec63-3733-3a6f-ec2b6c02fba0_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:3),POR @ HOU,POR,HOU,"Monday, November 18",2,https://videos.nba.com/nba/pbp/media/2019/11/18/0021900193/266/ae584443-5067-8096-c06b-2613d2a02c0a_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:5),HOU @ DEN,HOU,DEN,"Wednesday, November 20",4,https://videos.nba.com/nba/pbp/media/2019/11/20/0021900211/510/d4e8f0d6-4996-8753-d6de-b9655037932d_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:4),DAL @ HOU,DAL,HOU,"Sunday, November 24",3,https://videos.nba.com/nba/pbp/media/2019/11/24/0021900235/514/bca99b62-eff8-4ec1-4b6b-da7fb0d15b65_1280x720.mp4
2019-20,1,James Harden,OREB,Harden REBOUND (Off:1 Def:3),MIA @ HOU,MIA,HOU,"Wednesday, November 27",2,https://videos.nba.com/nba/pbp/media/2019/11/27/0021900259/273/a0fe9614-d1ac-11bc-214e-775ae39a70bb_1280x720.mp4
