SEASON,PLAYER ID,PLAYER NAME,REBOUND TYPE,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:1 Def:6),OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/263/e3a943c8-9777-5fea-6fc6-670312bf2584_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:1 Def:2),PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/174/e00d41ce-f037-5e75-d571-a9b0674f9396_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:2 Def:2),PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/196/131da467-792f-0efc-19a9-84c2885d5ce9_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:3 Def:6),PHX @ OKC,PHX,OKC,"Friday, October 28",3,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/348/c1320b65-3898-15f9-1da0-5c71452af7f0_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:1 Def:1),LAL @ OKC,LAL,OKC,"Sunday, October 30",1,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/59/6a5c9701-8a2f-b6bc-12d0-bed0865d0b48_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:2 Def:4),LAL @ OKC,LAL,OKC,"Sunday, October 30",2,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/239/f10031d4-d7bc-88f9-5668-049c25b9783b_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:3 Def:4),LAL @ OKC,LAL,OKC,"Sunday, October 30",3,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/266/90a3644b-7d44-ba36-42b6-8fb7782fde3b_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:4 Def:4),LAL @ OKC,LAL,OKC,"Sunday, October 30",3,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/271/b27092ff-03ef-41c4-7ed3-eced7611b762_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:1 Def:0),OKC @ LAC,OKC,LAC,"Wednesday, November 2",2,https://videos.nba.com/nba/pbp/media/2016/11/02/0021600064/242/7eb23947-6e4b-496c-c34b-52118268e206_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:1 Def:3),OKC @ GSW,OKC,GSW,"Thursday, November 3",2,https://videos.nba.com/nba/pbp/media/2016/11/03/0021600069/262/821d60dc-53dc-d4c2-b770-8c24a1040ef2_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:1 Def:4),MIN @ OKC,MIN,OKC,"Saturday, November 5",2,https://videos.nba.com/nba/pbp/media/2016/11/05/0021600079/196/eb312432-6fd6-ec5f-4dd8-0857bc15ff60_1280x720.mp4
2016-17,1,Russell Westbrook,OREB,Westbrook REBOUND (Off:2 Def:4),MIN @ OKC,MIN,OKC,"Saturday, November 5",2,https://videos.nba.com/nba/pbp/media/2016/11/05/0021600079/229/54241b06-dd7d-e10f-9649-582f2ce4186b_1280x720.mp4
