SEASON,PLAYER ID,PLAYER NAME,REBOUND TYPE,PLAY DESCRIPTION,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:1),OKC @ PHI,OKC,PHI,"Wednesday, October 26",1,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/42/e5c3d6f5-1e84-92fb-7d21-aa953fcd5c09_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:2),OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/196/cbb9b534-b847-0991-461b-f06bd6a2a629_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:3),OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/206/895aecf7-abd5-e860-e392-ed73b4d82f33_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:4),OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/226/52510f6c-3ac8-95f2-02b5-f314d1cffe6e_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:5),OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/238/bd27f3a5-7e10-7bff-4cf9-ed61a2b67151_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:6),OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/247/60415f1c-4386-edc9-bce9-3b89f49e9cd4_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:1 Def:7),OKC @ PHI,OKC,PHI,"Wednesday, October 26",3,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/298/73dce2f6-4d5d-e73f-d11d-5f1593f66147_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:1 Def:8),OKC @ PHI,OKC,PHI,"Wednesday, October 26",3,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/317/85aab52a-692c-6396-075a-2fe2c778b94b_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:1 Def:9),OKC @ PHI,OKC,PHI,"Wednesday, October 26",4,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/440/8a189bfc-c9a2-9183-27b1-5772b66ca289_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:1 Def:10),OKC @ PHI,OKC,PHI,"Wednesday, October 26",4,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/508/1195ca96-01d6-e641-c536-e40cf0378875_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:1 Def:11),OKC @ PHI,OKC,PHI,"Wednesday, October 26",4,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/529/dd6aa6a4-e7bf-8429-4794-7f6527194af9_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:1),PHX @ OKC,PHX,OKC,"Friday, October 28",1,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/96/39746ba1-9a93-f7a8-bf47-1aeced7c9a74_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:0 Def:2),PHX @ OKC,PHX,OKC,"Friday, October 28",1,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/99/5088ef70-b346-6b39-60c0-dbe5aba0b456_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:2 Def:3),PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/263/0554edca-c8ef-111a-e3b0-29dd7b91b51a_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:2 Def:4),PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/277/b5dd4bed-979e-8e77-9757-f2c0dd56f837_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:2 Def:5),PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/280/2818f869-e863-f791-20be-0b826d13d565_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:2 Def:6),PHX @ OKC,PHX,OKC,"Friday, October 28",3,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/331/7b49becf-bdb4-d4ba-6ce6-7d793ca69c61_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:3 Def:7),PHX @ OKC,PHX,OKC,"Friday, October 28",3,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/438/bab530a1-d791-6417-ac04-e9054a34c7bf_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:3 Def:8),PHX @ OKC,PHX,OKC,"Friday, October 28",4,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/522/c96884a3-7bd0-3719-e8b1-517cb39cc760_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:3 Def:9),PHX @ OKC,PHX,OKC,"Friday, October 28",5,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/641/f1789f0d-6b13-c979-5145-a75a21734daf_1280x720.mp4
2016-17,1,Russell Westbrook,DREB,Westbrook REBOUND (Off:3 Def:10),PHX @ OKC,PHX,OKC,"Friday, October 28",5,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/689/6348bb0a-1074-7d89-eeb5-0bade57f3b1c_1280x720.mp4
