SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:0),OREB,OKC @ POR,OKC,POR,"Wednesday, October 29",1,https://videos.nba.com/nba/pbp/media/2014/10/29/0021400015/4/f66c499a-064b-5c11-f092-88979208f71c_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:0),OREB,OKC @ POR,OKC,POR,"Wednesday, October 29",2,https://videos.nba.com/nba/pbp/media/2014/10/29/0021400015/216/795da65e-6c23-a7b7-eba8-830684c4b0b5_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,NYK @ OKC,NYK,OKC,"Friday, November 28",2,https://videos.nba.com/nba/pbp/media/2014/11/28/0021400229/188/b66c63d4-f68b-54b1-3717-c1a63c370b55_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:1),OREB,NYK @ OKC,NYK,OKC,"Friday, November 28",2,https://videos.nba.com/nba/pbp/media/2014/11/28/0021400229/212/de4d727d-7685-9a17-abd1-1ee67000f17f_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:3 Def:2),OREB,NYK @ OKC,NYK,OKC,"Friday, November 28",2,https://videos.nba.com/nba/pbp/media/2014/11/28/0021400229/223/1fa80398-f918-3f08-6869-7b4e82ba5efc_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:4 Def:2),OREB,NYK @ OKC,NYK,OKC,"Friday, November 28",2,https://videos.nba.com/nba/pbp/media/2014/11/28/0021400229/240/6f4a095a-cf26-fb7f-3b4d-a73152197bec_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,OKC @ NOP,OKC,NOP,"Tuesday, December 2",1,https://videos.nba.com/nba/pbp/media/2014/12/02/0021400258/60/d1d80175-3225-b9dd-f89e-fbe428b051dc_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:6),OREB,OKC @ DET,OKC,DET,"Sunday, December 7",3,https://videos.nba.com/nba/pbp/media/2014/12/07/0021400297/315/498f78a5-1f1c-249b-8834-2ee6111c87f3_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:2),OREB,MIL @ OKC,MIL,OKC,"Tuesday, December 9",2,https://videos.nba.com/nba/pbp/media/2014/12/09/0021400312/262/8fb643e0-d60e-337c-d27e-dee93f639e96_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:2),OREB,MIL @ OKC,MIL,OKC,"Tuesday, December 9",3,https://videos.nba.com/nba/pbp/media/2014/12/09/0021400312/361/baff1096-bcb4-b4b5-d023-49793721d609_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:5),OREB,CLE @ OKC,CLE,OKC,"Thursday, December 11",4,https://videos.nba.com/nba/pbp/media/2014/12/11/0021400326/463/3862a692-7a16-d4f1-df5e-ce16a397b931_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:5),OREB,OKC @ MIN,OKC,MIN,"Friday, December 12",4,https://videos.nba.com/nba/pbp/media/2014/12/12/0021400335/495/a5f36818-0379-942b-44e4-d61dbdba19c4_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,PHX @ OKC,PHX,OKC,"Sunday, December 14",2,https://videos.nba.com/nba/pbp/media/2014/12/14/0021400352/227/addc301f-1995-7102-ab00-9140c489e09d_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:1),OREB,PHX @ OKC,PHX,OKC,"Sunday, December 14",2,https://videos.nba.com/nba/pbp/media/2014/12/14/0021400352/229/fed13bf8-5a24-0ec1-d6d4-f6095d6830aa_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:3 Def:1),OREB,PHX @ OKC,PHX,OKC,"Sunday, December 14",2,https://videos.nba.com/nba/pbp/media/2014/12/14/0021400352/238/239f1b95-dca6-ee30-cc79-7284f8edd2f2_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:4 Def:4),OREB,PHX @ OKC,PHX,OKC,"Sunday, December 14",3,https://videos.nba.com/nba/pbp/media/2014/12/14/0021400352/365/95b657f2-b025-3562-dd89-c33967020759_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:2),OREB,OKC @ SAC,OKC,SAC,"Tuesday, December 16",2,https://videos.nba.com/nba/pbp/media/2014/12/16/0021400368/199/31ce0629-ef67-3800-203f-243d9e67fcf3_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:3),OREB,OKC @ SAC,OKC,SAC,"Tuesday, December 16",2,https://videos.nba.com/nba/pbp/media/2014/12/16/0021400368/267/f12c56e1-1c28-7d94-3748-552f9febd4e2_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:3 Def:3),OREB,OKC @ SAC,OKC,SAC,"Tuesday, December 16",3,https://videos.nba.com/nba/pbp/media/2014/12/16/0021400368/350/5900afcb-f6d5-856e-66e1-7772f2c0f0c3_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,OKC @ GSW,OKC,GSW,"Thursday, December 18",3,https://videos.nba.com/nba/pbp/media/2014/12/18/0021400382/356/e72d1fff-e664-5a86-e1b5-7b601a7cc906_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:0),OREB,NOP @ OKC,NOP,OKC,"Sunday, December 21",2,https://videos.nba.com/nba/pbp/media/2014/12/21/0021400408/172/579350fb-8d9d-2cb8-4ea5-e78ae1be88d6_1280x720.mp4
2014-15,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:0),OREB,NOP @ OKC,NOP,OKC,"Sunday, December 21",2,https://videos.nba.com/nba/pbp/media/2014/12/21/0021400408/226/a8a8e4fa-2c20-1d6c-043a-dca4c3abea0d_1280x720.mp4
