SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:0),OREB,GSW @ BKN,GSW,BKN,"Tuesday, December 22",1,https://videos.nba.com/nba/pbp/media/2020/12/22/0022000001/153/1c400a26-5729-8701-027f-7bc993f6ce58_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:2 Def:0),OREB,GSW @ BKN,GSW,BKN,"Tuesday, December 22",3,https://videos.nba.com/nba/pbp/media/2020/12/22/0022000001/389/413e29b6-dba7-441b-f2ec-66b9d59dab08_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:3 Def:0),OREB,GSW @ BKN,GSW,BKN,"Tuesday, December 22",3,https://videos.nba.com/nba/pbp/media/2020/12/22/0022000001/447/4780a9e9-140c-eaaa-4591-d79db4ac4dad_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,POR @ GSW,POR,GSW,"Sunday, January 3",3,https://videos.nba.com/nba/pbp/media/2021/01/03/0022000092/438/30c13a64-3f3c-1ed7-44ac-82d8d2cca4e4_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,LAC @ GSW,LAC,GSW,"Wednesday, January 6",4,https://videos.nba.com/nba/pbp/media/2021/01/06/0022000116/626/6e395b60-3eda-e2af-a6e3-5ebdce8fc633_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:1),OREB,TOR @ GSW,TOR,GSW,"Sunday, January 10",1,https://videos.nba.com/nba/pbp/media/2021/01/10/0022000148/158/2bb2f9af-e388-22c2-5817-8100322de3f4_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:2 Def:1),OREB,TOR @ GSW,TOR,GSW,"Sunday, January 10",1,https://videos.nba.com/nba/pbp/media/2021/01/10/0022000148/166/d59ba3c1-dca1-fcce-3ec7-788f0e8d0377_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:3 Def:3),OREB,TOR @ GSW,TOR,GSW,"Sunday, January 10",3,https://videos.nba.com/nba/pbp/media/2021/01/10/0022000148/415/5c775673-dded-4c63-26be-1582b23a8947_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:0),OREB,IND @ GSW,IND,GSW,"Tuesday, January 12",1,https://videos.nba.com/nba/pbp/media/2021/01/12/0022000163/167/78b83d47-699c-4bad-a159-7c9143ad8b6d_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:5),OREB,SAS @ GSW,SAS,GSW,"Wednesday, January 20",3,https://videos.nba.com/nba/pbp/media/2021/01/20/0022000223/379/8f25e6a8-844d-bacd-c2c7-3d7340713e68_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,MIN @ GSW,MIN,GSW,"Monday, January 25",3,https://videos.nba.com/nba/pbp/media/2021/01/25/0022000266/487/114ef980-ef16-279a-e45d-84944799cb01_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,GSW @ PHX,GSW,PHX,"Thursday, January 28",2,https://videos.nba.com/nba/pbp/media/2021/01/28/0022000286/269/d6823152-8a1f-c428-9b08-6f3e331a0c09_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:4),OREB,MIA @ GSW,MIA,GSW,"Wednesday, February 17",3,https://videos.nba.com/nba/pbp/media/2021/02/17/0022000443/412/5e7897c3-81d3-c1dc-3367-6ed82d1ca408_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:2),OREB,GSW @ ORL,GSW,ORL,"Friday, February 19",2,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000449/289/bf986e1a-5ca2-8b1f-b6ee-de24ffc2a7e4_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:2 Def:5),OREB,GSW @ ORL,GSW,ORL,"Friday, February 19",4,https://videos.nba.com/nba/pbp/media/2021/02/19/0022000449/690/65df7203-e5c5-53ca-d086-4d084f27e615_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:6),OREB,GSW @ IND,GSW,IND,"Wednesday, February 24",2,https://videos.nba.com/nba/pbp/media/2021/02/24/0022000489/327/a2549603-cd77-9b64-0480-7f039257a70e_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:6),OREB,GSW @ POR,GSW,POR,"Wednesday, March 3",4,https://videos.nba.com/nba/pbp/media/2021/03/03/0022000550/591/3715ef91-8fda-3074-4139-f4100f33f732_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,UTA @ GSW,UTA,GSW,"Sunday, March 14",3,https://videos.nba.com/nba/pbp/media/2021/03/14/0022000594/379/96c38c47-9e97-0c7f-3655-b45bc070c16e_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:4),OREB,CHI @ GSW,CHI,GSW,"Monday, March 29",4,https://videos.nba.com/nba/pbp/media/2021/03/29/0022000716/576/bfa491a3-8df4-3160-7702-ae5ec04e394a_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:0),OREB,GSW @ MIA,GSW,MIA,"Thursday, April 1",1,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000733/9/f5057b3b-2d68-7a99-3b75-bcaea65bbace_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:2 Def:8),OREB,GSW @ MIA,GSW,MIA,"Thursday, April 1",4,https://videos.nba.com/nba/pbp/media/2021/04/01/0022000733/627/f3a73cf1-539f-f46e-e51f-3ecb900b0732_1280x720.mp4
2020-21,1,Stephen Curry,Curry REBOUND (Off:1 Def:4),OREB,GSW @ ATL,GSW,ATL,"Sunday, April 4",4,https://videos.nba.com/nba/pbp/media/2021/04/04/0022000759/713/ec1103ad-2d68-4849-e095-3e8c9ed332c4_1280x720.mp4
