SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:6),OREB,OKC @ PHI,OKC,PHI,"Wednesday, October 26",2,https://videos.nba.com/nba/pbp/media/2016/10/26/0021600011/263/e3a943c8-9777-5fea-6fc6-670312bf2584_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:2),OREB,PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/174/e00d41ce-f037-5e75-d571-a9b0674f9396_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:2),OREB,PHX @ OKC,PHX,OKC,"Friday, October 28",2,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/196/131da467-792f-0efc-19a9-84c2885d5ce9_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:3 Def:6),OREB,PHX @ OKC,PHX,OKC,"Friday, October 28",3,https://videos.nba.com/nba/pbp/media/2016/10/28/0021600021/348/c1320b65-3898-15f9-1da0-5c71452af7f0_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,LAL @ OKC,LAL,OKC,"Sunday, October 30",1,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/59/6a5c9701-8a2f-b6bc-12d0-bed0865d0b48_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:4),OREB,LAL @ OKC,LAL,OKC,"Sunday, October 30",2,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/239/f10031d4-d7bc-88f9-5668-049c25b9783b_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:3 Def:4),OREB,LAL @ OKC,LAL,OKC,"Sunday, October 30",3,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/266/90a3644b-7d44-ba36-42b6-8fb7782fde3b_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:4 Def:4),OREB,LAL @ OKC,LAL,OKC,"Sunday, October 30",3,https://videos.nba.com/nba/pbp/media/2016/10/30/0021600040/271/b27092ff-03ef-41c4-7ed3-eced7611b762_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:0),OREB,OKC @ LAC,OKC,LAC,"Wednesday, November 2",2,https://videos.nba.com/nba/pbp/media/2016/11/02/0021600064/242/7eb23947-6e4b-496c-c34b-52118268e206_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:3),OREB,OKC @ GSW,OKC,GSW,"Thursday, November 3",2,https://videos.nba.com/nba/pbp/media/2016/11/03/0021600069/262/821d60dc-53dc-d4c2-b770-8c24a1040ef2_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:4),OREB,MIN @ OKC,MIN,OKC,"Saturday, November 5",2,https://videos.nba.com/nba/pbp/media/2016/11/05/0021600079/196/eb312432-6fd6-ec5f-4dd8-0857bc15ff60_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:4),OREB,MIN @ OKC,MIN,OKC,"Saturday, November 5",2,https://videos.nba.com/nba/pbp/media/2016/11/05/0021600079/229/54241b06-dd7d-e10f-9649-582f2ce4186b_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:0),OREB,MIA @ OKC,MIA,OKC,"Monday, November 7",1,https://videos.nba.com/nba/pbp/media/2016/11/07/0021600097/64/3a31abca-d8a5-0dd8-d2de-0407d093dcd7_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:1),OREB,MIA @ OKC,MIA,OKC,"Monday, November 7",2,https://videos.nba.com/nba/pbp/media/2016/11/07/0021600097/239/126af905-411d-7279-10cb-c0a005728c82_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:2),OREB,TOR @ OKC,TOR,OKC,"Wednesday, November 9",2,https://videos.nba.com/nba/pbp/media/2016/11/09/0021600112/184/10efa3cf-5f13-a29d-b7da-c2714bf44ba1_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:4),OREB,TOR @ OKC,TOR,OKC,"Wednesday, November 9",4,https://videos.nba.com/nba/pbp/media/2016/11/09/0021600112/420/f8d9a617-9f07-af2b-5eef-83cb243d5452_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:9),OREB,LAC @ OKC,LAC,OKC,"Friday, November 11",4,https://videos.nba.com/nba/pbp/media/2016/11/11/0021600126/493/1da6d6cb-33ab-d9f5-da84-765b7b44e5c3_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:0),OREB,ORL @ OKC,ORL,OKC,"Sunday, November 13",1,https://videos.nba.com/nba/pbp/media/2016/11/13/0021600141/54/c5b66d5e-b1ad-1bd3-b7bb-24dfc32b6cb1_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:5),OREB,ORL @ OKC,ORL,OKC,"Sunday, November 13",2,https://videos.nba.com/nba/pbp/media/2016/11/13/0021600141/247/d0e4703f-55c8-9aba-5373-f617a5d00ab2_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:8),OREB,OKC @ DET,OKC,DET,"Monday, November 14",3,https://videos.nba.com/nba/pbp/media/2016/11/14/0021600147/293/86fe84cd-f6d0-1687-c446-d63410a7a98f_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:11),OREB,OKC @ DET,OKC,DET,"Monday, November 14",4,https://videos.nba.com/nba/pbp/media/2016/11/14/0021600147/482/aa1ec4c2-c084-50ad-6aed-10d93215ec6b_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,HOU @ OKC,HOU,OKC,"Wednesday, November 16",2,https://videos.nba.com/nba/pbp/media/2016/11/16/0021600164/186/b9b466b6-d5f0-6bfe-a221-26ef3dc0daf9_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:1 Def:1),OREB,BKN @ OKC,BKN,OKC,"Friday, November 18",1,https://videos.nba.com/nba/pbp/media/2016/11/18/0021600178/70/45dcfd99-89e4-c173-f102-630bf161fa40_1280x720.mp4
2016-17,1,Russell Westbrook,Westbrook REBOUND (Off:2 Def:6),OREB,BKN @ OKC,BKN,OKC,"Friday, November 18",3,https://videos.nba.com/nba/pbp/media/2016/11/18/0021600178/335/35f2659f-e190-2aa8-8d4e-5f7bb43e20ed_1280x720.mp4
