SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,PHI @ NOP,PHI,NOP,"Wednesday, October 20",1,https://videos.nba.com/nba/pbp/media/2021/10/20/0022100009/20/e1c3c730-cc6c-580b-7025-c8f0f331f413_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:4),OREB,BKN @ PHI,BKN,PHI,"Friday, October 22",2,https://videos.nba.com/nba/pbp/media/2021/10/22/0022100021/303/c438eab6-63e4-cf54-2331-da643682cc6d_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:2 Def:4),OREB,BKN @ PHI,BKN,PHI,"Friday, October 22",2,https://videos.nba.com/nba/pbp/media/2021/10/22/0022100021/313/8b03ffd6-01ae-14ab-6abb-a9d8a949bc3b_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:7),OREB,PHI @ OKC,PHI,OKC,"Sunday, October 24",3,https://videos.nba.com/nba/pbp/media/2021/10/24/0022100038/373/2ff18814-9bc7-0db8-f6d4-ef551b4af9ce_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:1),OREB,PHI @ NYK,PHI,NYK,"Tuesday, October 26",1,https://videos.nba.com/nba/pbp/media/2021/10/26/0022100050/63/87301025-4ff7-bf5a-a801-f7bebc2bbb86_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:8),OREB,DET @ PHI,DET,PHI,"Thursday, October 28",2,https://videos.nba.com/nba/pbp/media/2021/10/28/0022100065/284/b9b4d23d-5da8-dd21-d146-d7e07da56e94_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:2 Def:9),OREB,DET @ PHI,DET,PHI,"Thursday, October 28",2,https://videos.nba.com/nba/pbp/media/2021/10/28/0022100065/321/c67ca070-78ee-aca5-1ed6-4aa09e012095_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:3 Def:9),OREB,DET @ PHI,DET,PHI,"Thursday, October 28",2,https://videos.nba.com/nba/pbp/media/2021/10/28/0022100065/323/acc6c4d5-377d-628f-1ee9-24e691f75ccf_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:4 Def:9),OREB,DET @ PHI,DET,PHI,"Thursday, October 28",3,https://videos.nba.com/nba/pbp/media/2021/10/28/0022100065/354/821aeab1-7ef2-cf4c-b171-a482f5721e8c_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:5 Def:13),OREB,DET @ PHI,DET,PHI,"Thursday, October 28",4,https://videos.nba.com/nba/pbp/media/2021/10/28/0022100065/629/fc45b625-8ac6-bcac-62b9-7ca797d78c9b_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:8),OREB,CHI @ PHI,CHI,PHI,"Wednesday, November 3",4,https://videos.nba.com/nba/pbp/media/2021/11/03/0022100111/519/5024fbcd-8cd8-d15f-af5f-6446b2868feb_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:1),OREB,PHI @ DET,PHI,DET,"Thursday, November 4",2,https://videos.nba.com/nba/pbp/media/2021/11/04/0022100119/259/81c926fb-6d69-b046-2688-23c245ce3523_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:2 Def:1),OREB,PHI @ DET,PHI,DET,"Thursday, November 4",2,https://videos.nba.com/nba/pbp/media/2021/11/04/0022100119/300/00c3a7e3-3bfb-86ef-5ec8-7fb20cd21bdd_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:3 Def:4),OREB,PHI @ DET,PHI,DET,"Thursday, November 4",4,https://videos.nba.com/nba/pbp/media/2021/11/04/0022100119/533/2aa62369-94a0-6f3b-af6a-44963c2d31bc_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:4 Def:5),OREB,PHI @ DET,PHI,DET,"Thursday, November 4",4,https://videos.nba.com/nba/pbp/media/2021/11/04/0022100119/588/b18efa35-9a2e-b44f-819c-0bfa83ac53b3_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:11),OREB,PHI @ CHI,PHI,CHI,"Saturday, November 6",3,https://videos.nba.com/nba/pbp/media/2021/11/06/0022100135/346/9e716804-597a-0f69-23f6-c4dd95347de2_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:0),OREB,MIN @ PHI,MIN,PHI,"Saturday, November 27",1,https://videos.nba.com/nba/pbp/media/2021/11/27/0022100292/18/261a2629-febb-4072-833f-bd3a32b0ea40_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:2 Def:11),OREB,MIN @ PHI,MIN,PHI,"Saturday, November 27",6,https://videos.nba.com/nba/pbp/media/2021/11/27/0022100292/787/5c4160e3-2c75-e341-4f58-68ef48f355ec_1280x720.mp4
2021-22,1,Joel Embiid,Embiid REBOUND (Off:1 Def:3),OREB,ORL @ PHI,ORL,PHI,"Monday, November 29",1,https://videos.nba.com/nba/pbp/media/2021/11/29/0022100305/93/3ec4f64f-3566-5ab6-9203-3aea64f03dd6_1280x720.mp4
