SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,HOU @ GSW,HOU,GSW,"Tuesday, October 17",3,https://videos.nba.com/nba/pbp/media/2017/10/17/0021700002/376/47822719-3932-67bf-6612-3e725aeac74e_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:0),OREB,HOU @ SAC,HOU,SAC,"Wednesday, October 18",1,https://videos.nba.com/nba/pbp/media/2017/10/18/0021700013/22/5f247152-4925-2209-4898-ae58585013d4_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:2 Def:1),OREB,HOU @ SAC,HOU,SAC,"Wednesday, October 18",1,https://videos.nba.com/nba/pbp/media/2017/10/18/0021700013/127/6ea9da80-0eea-4968-ca68-22bcf704c78c_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:0),OREB,MEM @ HOU,MEM,HOU,"Monday, October 23",2,https://videos.nba.com/nba/pbp/media/2017/10/23/0021700043/309/72be7479-d297-5223-0842-b1338dd42b34_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:3),OREB,HOU @ MEM,HOU,MEM,"Saturday, October 28",3,https://videos.nba.com/nba/pbp/media/2017/10/28/0021700080/415/a5fc5778-b554-35a3-719d-884721209e69_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:2),OREB,PHI @ HOU,PHI,HOU,"Monday, October 30",2,https://videos.nba.com/nba/pbp/media/2017/10/30/0021700095/307/52970e24-a494-9352-7975-59c0610301dc_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:4),OREB,HOU @ NYK,HOU,NYK,"Wednesday, November 1",3,https://videos.nba.com/nba/pbp/media/2017/11/01/0021700111/409/cb5602f4-a582-3f0a-535f-44b1a686fff8_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:0),OREB,HOU @ ATL,HOU,ATL,"Friday, November 3",1,https://videos.nba.com/nba/pbp/media/2017/11/03/0021700123/79/8ae0a578-502c-d7cd-09ff-8bcf889bbedf_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:0),OREB,CLE @ HOU,CLE,HOU,"Thursday, November 9",1,https://videos.nba.com/nba/pbp/media/2017/11/09/0021700166/43/077e70ad-a50b-1c00-6887-e8381c03aa00_1280x720.mp4
2017-18,1,James Harden,Harden REBOUND (Off:1 Def:3),OREB,TOR @ HOU,TOR,HOU,"Tuesday, November 14",3,https://videos.nba.com/nba/pbp/media/2017/11/14/0021700202/479/2e9c0b40-de1d-2648-595d-ac9049eb4171_1280x720.mp4
