SEASON,PLAYER ID,PLAYER NAME,PLAY DESCRIPTION,REBOUND TYPE,BOXSCORE,VTM,HTM,GAME DATE,PERIOD,Video Link
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:1),OREB,NOP @ GSW,NOP,GSW,"Tuesday, October 27",2,https://videos.nba.com/nba/pbp/media/2015/10/27/0021500003/195/bb8ee220-cf38-31de-3e67-96254efb4088_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:2 Def:1),OREB,NOP @ GSW,NOP,GSW,"Tuesday, October 27",2,https://videos.nba.com/nba/pbp/media/2015/10/27/0021500003/220/ac67993a-c1dc-27b2-d0b5-af7b343390bf_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:3 Def:2),OREB,NOP @ GSW,NOP,GSW,"Tuesday, October 27",3,https://videos.nba.com/nba/pbp/media/2015/10/27/0021500003/396/0be823dc-40e5-4b70-63f0-6a1b6f4ed6f8_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:0),OREB,MEM @ GSW,MEM,GSW,"Monday, November 2",2,https://videos.nba.com/nba/pbp/media/2015/11/02/0021500051/224/0bd8b6dc-9d3f-9b63-9ac2-fd057e4bf5ed_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:2),OREB,GSW @ SAC,GSW,SAC,"Saturday, November 7",1,https://videos.nba.com/nba/pbp/media/2015/11/07/0021500092/98/7b6cfa22-5b47-fde1-a4e1-64b59d06f0c1_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,DET @ GSW,DET,GSW,"Monday, November 9",3,https://videos.nba.com/nba/pbp/media/2015/11/09/0021500104/268/8d727b2c-d2d4-ec65-bc65-7c4bf1779d99_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:3),OREB,CHI @ GSW,CHI,GSW,"Friday, November 20",4,https://videos.nba.com/nba/pbp/media/2015/11/20/0021500187/477/965a3363-f9a4-fc94-fd15-eaf2426deaf8_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:1),OREB,GSW @ PHX,GSW,PHX,"Friday, November 27",1,https://videos.nba.com/nba/pbp/media/2015/11/27/0021500236/109/307ed1f0-e775-b34f-5272-ae24b11cc034_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:1 Def:1),OREB,GSW @ UTA,GSW,UTA,"Monday, November 30",3,https://videos.nba.com/nba/pbp/media/2015/11/30/0021500259/274/7bfa9a39-7964-5dc8-f394-84318a78bde1_1280x720.mp4
2015-16,1,Stephen Curry,Curry REBOUND (Off:2 Def:2),OREB,GSW @ UTA,GSW,UTA,"Monday, November 30",3,https://videos.nba.com/nba/pbp/media/2015/11/30/0021500259/350/d853d0f4-2ace-e22a-50b0-9acf234d39da_1280x720.mp4
